P_index,P_url,P_heading,P_ID,P_Status,P_Awarded,P_Budget,P_Repeat,P_Skill,P_Skills_Number,P_Rating,P_Reviews,P_location,P_country,P_income_group,P_selected_rank_tatol,P_fcers_selected,P_selected_rank_average,P_fcers_applying_total,P_selection_accuracy,F_Country_Match
683,https://www.freelancer.com/projects/cplusplus-programming/write-some-software-12030276/,Write some Software , #12030276,Cancelled,1,$30-250 USD,0,C++ Programming,1,0,0,"davison, United States",United States,High income,2,1,2,5,0.8,0
684,https://www.freelancer.com/projects/articles/answer-some-questions-related-the/,Answer some questions related to the YETI brand, #12028862,Completed,1,$10-30 USD,5,"Article Writing,Content Writing,Product Descriptions,Reviews",4,5,56,"Austin, United States",United States,High income,2,1,2,5,0.8,0
686,https://www.freelancer.com/projects/html/build-website-11999453/,Build a Website , #11999453,Completed,1,$30-250 USD,1,"HTML,Java",2,5,1,"Maywood, United States",United States,High income,11,1,11,15,0.333333333,0
691,https://www.freelancer.com/projects/php/write-some-survey-software-11955675/,Write some survey software , #11955675,Cancelled,1,$30-250 USD,5,"PHP,Software Architecture,WordPress",3,5,50,"Crystal Lake, United States",United States,High income,1,1,1,1,1,0
693,https://www.freelancer.com/projects/python/would-like-hire-python-developer-11910556/,I would like to hire a Python Developer, #11910556,In Progress,1,£20-250 GBP,1,Python,1,5,1,"Harpenden, United Kingdom",United Kingdom,High income,2,1,2,2,0.5,0
695,https://www.freelancer.com/projects/graphic-design/children-book-illustration-11887341/,children's book illustration -- 2, #11887341,Completed,1,$250-750 USD,3,"Book Writing,Caricature & Cartoons,Graphic Design,Illustration,Illustrator",5,5,3,"Sparta, United States",United States,High income,9,1,9,14,0.428571429,0
698,https://www.freelancer.com/projects/php/website-development-11866724/,Website development, #11866724,Completed,1,€1500-3000 EUR,2,"Graphic Design,HTML,PHP,Shopping Carts,Website Design",5,5,2,"Nicosia, Cyprus",Cyprus,High income,6,1,6,21,0.761904762,0
699,https://www.freelancer.com/projects/accounting/find-accountant-11861782/,Find an Accountant, #11861782,Completed,1,$30-250 SGD,0,"Accounting,Payroll",2,5,1,"Singapore, Singapore",Singapore,High income,1,1,1,7,1,0
701,https://www.freelancer.com/projects/mysql/wordpress-site-combine-with-our/,"Wordpress site, combine it with our plugin that is Missing an API", #11847894,Completed,1,$30-250 USD,5,"Angular.js,eCommerce,JSON,MySQL,Python",5,5,17,"Seattle, United States",United States,High income,14,1,14,15,0.133333333,0
702,https://www.freelancer.com/projects/articles/write-one-article-related-diet/,Write one article related to diet pill-800 words., #11847557,In Progress,1,$2-4 USD / hour,5,Article Writing,1,5,48,"Jessore, Bangladesh",Bangladesh,Lower middle income,7,1,7,14,0.571428571,0
705,https://www.freelancer.com/projects/articles/write-leading-discussion-one-movie-11827809/,Write leading discussion of one movie  -- 2, #11827809,Completed,1,$10-30 USD,5,Article Writing,1,5,31,"Fresh Meadows, United States",United States,High income,7,1,7,13,0.538461538,0
707,https://www.freelancer.com/projects/articles/write-leading-discussion-one-movie/,Write leading discussion of one movie , #11818203,Completed,1,$10-30 USD,5,Article Writing,1,5,31,"Fresh Meadows, United States",United States,High income,6,1,6,12,0.583333333,0
709,https://www.freelancer.com/projects/software-architecture/design-specification-for-video-store-11807907/,Design Specification for a Video Store -- 2, #11807907,Completed,1,$30-250 AUD,5,"Software Architecture,Software Development,UML Design",3,5,30,"Notting Hill, Australia",Australia,High income,1,1,1,3,1,0
712,https://www.freelancer.com/projects/software-architecture/design-specification-for-video-store/,Design Specification for a Video Store, #11768662,In Progress,1,$30-250 AUD,5,"Software Architecture,Software Development,UML Design",3,5,30,"Notting Hill, Australia",Australia,High income,1,1,1,4,1,0
714,https://www.freelancer.com/projects/voip/advice-asterisk-installation/,Advice on my Asterisk Installation, #11764690,Completed,1,$15-25 USD / hour,1,"Asterisk PBX,VoIP",2,5,1,"Hillsborough, United States",United States,High income,2,1,2,3,0.666666667,0
719,https://www.freelancer.com/projects/mobile-phone/write-android-survey-application-that/,Write an Android Survey application that allow multiple attempt , #11689248,Completed,1,$30-420 SGD,5,"Android,Java,Mobile App Development",3,4.8,3,"Singapore, Singapore",Singapore,High income,3,1,3,15,0.866666667,0
728,https://www.freelancer.com/projects/graphic-design/create-vector-this-design-including/,Create a vector of this design including few modification, #11640463,Completed,1,$10-30 CAD,1,"Graphic Design,Logo Design",2,5,2,"Shawinigan, Canada",Canada,High income,7,1,7,10,0.4,0
733,https://www.freelancer.com/projects/game-design/create-typing-game-language-only/,create a typing game in C++. (C++ language only) (should be working in eclipse CDT), #11597579,Completed,1,$10-30 USD,4,"Adobe Air,Game Design,Game Development,Objective C,Swift",5,5,6,"SUNNYSIDE, United States",United States,High income,6,1,6,8,0.375,0
738,https://www.freelancer.com/projects/java/write-some-python-line-pull/,Write some python line to pull status of Hoiio call, #11555073,Cancelled,1,$12-30 SGD,5,"Python,Software Architecture",2,4.9,25,"Singapore, Singapore",Singapore,High income,2,1,2,2,0.5,0
745,https://www.freelancer.com/projects/infographics/illustrate-purchase-shipping-procedure/,Illustrate Purchase and Shipping Procedure for E-Commerce , #11485707,Cancelled,1,$30-250 CAD,5,Infographics,1,5,7,"Edmonton, Canada",Canada,High income,7,1,7,16,0.625,0
746,https://www.freelancer.com/projects/mobile-phone/write-survey-application-for-android/,Write a Survey application for Android, #11485711,Completed,1,₹12500-37500 INR,5,"Android,Mobile App Development",2,5,11,"Pune, India",India,Lower middle income,14,1,14,21,0.380952381,1
747,https://www.freelancer.com/projects/wordpress/would-like-hire-wordpress-developer-11482328/,I would like to hire a WordPress Developer, #11482328,Completed,1,$15-150 USD,1,WordPress,1,5,2,"Indio, United States",United States,High income,5,1,5,18,0.777777778,0
748,https://www.freelancer.com/projects/cplusplus-programming/write-some-software-11479693/,Write some Software , #11479693,Completed,1,$750-1500 USD,0,"C++ Programming,Mathematics,OpenGL,Python",4,5,1,"New Delhi, India",India,Lower middle income,7,1,7,12,0.5,0
754,https://www.freelancer.com/projects/c-sharp-programming/dynamic-double-ended-queue-that/,dynamic double-ended queue in c that stores string using the library format, #11430384,Completed,1,£20-250 GBP,0,C# Programming,1,5,1,"Shrewsbury, United Kingdom",United Kingdom,High income,1,1,1,6,1,0
758,https://www.freelancer.com/projects/wordpress/would-like-hire-wordpress-developer-11383444/,I would like to hire a WordPress Developer, #11383444,In Progress,1,$30-250 CAD,0,WordPress,1,0,0,Canada,Canada,High income,21,1,21,21,0.047619048,0
759,https://www.freelancer.com/projects/mobile-phone/write-android-survey-application/,Write an Android Survey application , #11372988,Cancelled,1,$30-250 SGD,5,"Android,Mobile App Development",2,4.8,3,"Singapore, Singapore",Singapore,High income,7,1,7,14,0.571428571,0
764,https://www.freelancer.com/projects/voice-talent/male-voiceover-artist-needed-for-11303437/,"MALE voiceover artist needed for 8,675 word project", #11303437,Completed,1,$750-1500 USD,5,"Audio Services,Voice Talent",2,5,126,"Singapore, Singapore",Singapore,High income,5,1,5,21,0.80952381,0
770,https://www.freelancer.com/projects/seo/seo-for-website-11237015/,Do SEO for my website , #11237015,Cancelled,1,$30-250 USD,5,"Google Website Optimizer,SEO",2,4.9,15,"Dubai, United Arab Emirates",United Arab Emirates,High income,19,1,19,19,0.052631579,0
780,https://www.freelancer.com/projects/leads/find-some-leads-service-company/,Find me some Leads Service Company , #9769865,Completed,2,$2-8 USD / hour,5,Leads,1,4.6,16,"Hong-Kong, Hong Kong",Hong Kong,High income,10,2,5,6,0.333333333,0
783,https://www.freelancer.com/projects/software-architecture/two-tasks-task-one-the/,"two tasks: task one is the creation of report (worth 85% of  the total marks for the assignment), and task two is a critical self-reflective commentary  on task one", #11125637,Completed,1,$50 USD / hour,5,"Civil Engineering,Report Writing,Research Writing,Software Architecture,Technical Writing",5,5,142,"Lahore, Pakistan",Pakistan,Lower middle income,5,1,5,5,0.2,0
788,https://www.freelancer.com/projects/software-architecture/vimeo-backup-java-open-oauth/,Vimeo backup in Java - Open OAUTH 2.0 Unit Testing and Debugging, #11089311,Completed,1,$30-250 USD,5,"Java,Software Architecture,Video Services",3,4.9,38,"Milford, United States",United States,High income,3,1,3,9,0.777777778,0
789,https://www.freelancer.com/projects/academic-writing/write-project-management-plan-pmbok/,Write a Project Management Plan (PMBOK) in Business Report Format, #11087277,Completed,1,$50-150 AUD,0,"Project Management,Report Writing,Research,Research Writing",4,5,1,"Westmead, Australia",Australia,High income,21,1,21,21,0.047619048,0
800,https://www.freelancer.com/projects/video-services/create-trailer-promo-video-game/,Create a trailer/promo video of my game, #11010465,Completed,1,$30-250 USD,2,Video Services,1,5,3,"Mielec, Poland",Poland,High income,8,1,8,8,0.125,0
802,https://www.freelancer.com/projects/php/write-mysql-query-for-correct/,Write Mysql query for correct sorting ads/auctions on webpage, #11005326,Completed,1,$10-30 USD,5,"MySQL,PHP",2,5,69,"Enschede, Netherlands",Netherlands,High income,4,1,4,21,0.857142857,0
804,https://www.freelancer.com/projects/accounting/write-business-plan-10968851/,Write a Business Plan, #10968851,In Progress,1,R10500-21000 ZAR,0,"Accounting,Business Plans",2,0,0,"Johannesburg, South Africa",South Africa,Upper middle income,4,1,4,13,0.769230769,0
814,https://www.freelancer.com/projects/php/write-plugin-for-integraded-secure/,Write a WP plugin for integraded Secure PDF Reading, #10899445,Completed,1,$30-250 USD,5,"Javascript,PHP,WordPress",3,5,92,"Montigny le bretonneux, France",France,High income,3,1,3,20,0.9,0
822,https://www.freelancer.com/projects/ghostwriting/true-crime-book-written-about/,a true crime book written about my story, #10806365,In Progress,1,$30-250 USD,0,"eBooks,Ghostwriting",2,0,0,United States,United States,High income,10,1,10,18,0.5,0
824,https://www.freelancer.com/projects/website-design/build-phone-application-for-ios/,build phone application for ios / android  with a simple website, #10784149,In Progress,1,zł9000-15700 PLN,5,"Android,Geolocation,iPhone,Mobile App Development,Website Design",5,0,0,"Pruszków, Poland",Poland,High income,2,1,2,18,0.944444444,0
826,https://www.freelancer.com/projects/graphic-design/build-website-10777825/,Build a Website , #10777825,In Progress,1,$30-250 USD,5,"Graphic Design,HTML,PHP,Website Design",4,5,2,"Jeddah, Saudi Arabia",Saudi Arabia,High income,3,1,3,9,0.777777778,0
828,https://www.freelancer.com/projects/plugin/create-google-chrome-web-plugin-10773324/,Create a Google Chrome Web Plugin/App for our website., #10773324,In Progress,1,$30-250 AUD,2,"Google Chrome,Plugin",2,5,1,"Chevron Island, Australia",Australia,High income,1,1,1,2,1,0
830,https://www.freelancer.com/projects/graphic-design/build-website-for-sports-predictions-10770938/,"Build a Website for sports predictions, not a bookmaker or real gambling -- 2", #10770938,Completed,1,$30-250 USD,5,"Graphic Design,HTML,Javascript,PHP,Website Design",5,5,5,"Sofia, Bulgaria",Bulgaria,Upper middle income,9,1,9,20,0.6,0
834,https://www.freelancer.com/projects/animation/second-character-animation-intro-vector/,10-15 second character animation intro - vector art provided, #10731954,Completed,1,$250-750 USD,3,Animation,1,5,4,"KS, United States",United States,High income,13,1,13,21,0.428571429,0
835,https://www.freelancer.com/projects/academic-writing/academic-writing-10719192/,Academic Writing , #10719192,Completed,1,$15-25 USD / hour,2,"Research,Research Writing,Technical Writing,Virtual Assistant",4,5,1,"Bryan, United States",United States,High income,20,1,20,20,0.05,1
837,https://www.freelancer.com/projects/php/front-ended-development/,Front-ended development , #10697271,Completed,1,RM32-99 MYR,5,"CSS,Javascript,PHP,Website Design",4,5,5,"SOUTHBANK, Australia",Australia,High income,2,1,2,20,0.95,0
848,https://www.freelancer.com/projects/excel/financial-analysis-10562774/,Financial Analysis, #10562774,Completed,1,$30-250 USD,5,"Accounting,Excel",2,5,37,"Miramar, Venezuela",Venezuela,Upper middle income,2,1,2,7,0.857142857,0
852,https://www.freelancer.com/projects/articles/easy-words-native-english-writer/,(EASY) $3/100 words - Native English Writer - Video Script, #10551315,Completed,1,$30-250 USD,5,"Article Writing,Content Writing,Copywriting,Ghostwriting",4,5,31,"Surabaya, Indonesia",Indonesia,Lower middle income,15,1,15,20,0.3,0
853,https://www.freelancer.com/projects/mobile-phone/write-android-application-10548681/,Write an Android application , #10548681,In Progress,1,$30-250 USD,0,"Android,Mobile App Development",2,0,0,"Delhi, India",India,Lower middle income,14,1,14,20,0.35,1
856,https://www.freelancer.com/projects/excel/analyze-some-data-from-graphs/,Analyze some Data  from graphs and charts, #10537786,Completed,1,$10-30 AUD,5,"Data Processing,Excel,SPSS Statistics",3,4.9,131,"Brisbane, Australia",Australia,High income,6,1,6,12,0.583333333,0
864,https://www.freelancer.com/projects/research/phd-research-proposal-10501401/,PHD Research Proposal, #10501401,Completed,1,$30-250 USD,5,"Report Writing,Research",2,5,15,"Muscat, Oman",Oman,High income,14,1,14,20,0.35,0
865,https://www.freelancer.com/projects/video-services/create-video-ending-the-drug/,Create a Video on Ending the Drug War (SHORT BUT URGENT), #10501100,Completed,1,$10-30 USD,1,Video Services,1,5,1,United States,United States,High income,1,1,1,1,1,1
866,https://www.freelancer.com/projects/graphic-design/make-story-telling-html-design/,make a story-telling html design with my pictures and my text, #10498005,Completed,1,$30-250 USD,5,"Graphic Design,HTML5,Photoshop,Photoshop Design,Website Design",5,5,158,"Larnaca, Austria",Austria,High income,11,1,11,13,0.230769231,0
873,https://www.freelancer.com/projects/graphic-design/integrate-paypal-control-logic/,Integrate PayPal and Control Logic, #10459621,Completed,1,£250-750 GBP,5,"Graphic Design,HTML,PHP,Website Design",4,4.5,2,"Huddersfield, United Kingdom",United Kingdom,High income,18,1,18,21,0.19047619,0
874,https://www.freelancer.com/projects/graphic-design/graphic-design-adult-icons-10456228/,Graphic Design (Adult icons), #10456228,Completed,1,$30-250 USD,5,Graphic Design,1,5,14,"Chicago Ridge, United States",United States,High income,3,1,3,9,0.777777778,0
876,https://www.freelancer.com/projects/graphic-design/build-website-for-sports-predictions/,"Build a Website for sports predictions, not a bookmaker or real gambling", #10451433,Completed,1,$30-250 USD,5,"Graphic Design,HTML,Javascript,PHP,Website Design",5,5,5,"Sofia, Bulgaria",Bulgaria,Upper middle income,9,1,9,15,0.466666667,0
887,https://www.freelancer.com/projects/audio-services/edit-prolong-music-file-very/,Edit and prolong music file - very urgent!, #10364119,Completed,2,$10-30 USD,5,"Audio Production,Audio Services",2,5,21,"Saltsjo-Duvnas, Sweden",Sweden,High income,18,2,9,13,0.384615385,0
888,https://www.freelancer.com/projects/articles/literature-review-table-summary/,Literature review table summary , #10363081,Completed,1,$30-250 USD,4,"Article Writing,Content Writing,Data Entry,Research Writing",4,5,5,"London, United Kingdom",United Kingdom,High income,19,1,19,19,0.052631579,0
891,https://www.freelancer.com/projects/graphic-design/build-website-10328585/,Build a Website , #10328585,Completed,1,$250-750 SGD,0,"Graphic Design,HTML,PHP,Website Design",4,5,1,"Singapore, Thailand",Thailand,Upper middle income,10,1,10,21,0.571428571,0
892,https://www.freelancer.com/projects/graphic-design/graphic-design-adult-icons/,Graphic design adult icons, #10316343,Completed,1,$30-250 USD,5,Graphic Design,1,5,14,"Chicago Ridge, United States",United States,High income,2,1,2,6,0.833333333,0
894,https://www.freelancer.com/projects/powerpoint/design-memory-game-using-flash/,Design a memory game using flash, #10312540,Completed,1,$10-30 USD,5,"ActionScript,Adobe Flash,Powerpoint",3,4.7,18,"Riyadh, Saudi Arabia",Saudi Arabia,High income,4,1,4,4,0.25,0
898,https://www.freelancer.com/projects/java/javafx-display-tweet/,javaFx to display tweet, #10275270,In Progress,1,£10-20 GBP,2,"Java,JavaFX",2,2.4,1,"HAYES, United Kingdom",United Kingdom,High income,2,1,2,2,0.5,0
903,https://www.freelancer.com/projects/graphic-design/have-already-started-create-site/,"I HAVE ALREADY STARTED TO CREATE MY SITE FOR ADULTS IN WP, I WOULD LIKE TO MODIFY, CORRECT AND FINISH IT!", #10245773,Completed,1,€30-250 EUR,5,"Graphic Design,HTML,Mobile App Development,Website Design,XXX",5,4.8,5,"Fiumicino, Italy",Italy,High income,6,1,6,10,0.5,0
904,https://www.freelancer.com/projects/mysql/board-deleted-admin-account-need/,"IP Board 3.4.9 - Deleted my admin account, need help making new one", #10241524,Completed,1,$10-30 USD,5,"MySQL,SQL",2,5,8,"York, United States",United States,High income,1,1,1,1,1,0
905,https://www.freelancer.com/projects/graphic-design/web-development-10235749/,Web development, #10235749,Completed,1,₹12500-37500 INR,0,"Blog Install,Graphic Design,PHP,Website Design",4,5,1,"Rovaniemi, Finland",Finland,High income,20,1,20,20,0.05,0
908,https://www.freelancer.com/projects/report-writing/write-report-10230217/,Write a Report., #10230217,Completed,1,£10-25 GBP,5,Report Writing,1,4.6,6,"London, United Kingdom",United Kingdom,High income,2,1,2,7,0.857142857,0
914,https://www.freelancer.com/projects/mechanical-engineering/heat-transfer-project-10170710/,heat transfer Project , #10170710,Completed,1,$30-250 USD,5,Mechanical Engineering,1,5,8,"Tempe, United Arab Emirates",United Arab Emirates,High income,2,1,2,2,0.5,0
917,https://www.freelancer.com/projects/java/write-java-program-10155608/,Write a Java program, #10155608,Completed,1,$10-30 USD,0,Java,1,5,1,"Tampa, United States",United States,High income,1,1,1,6,1,1
920,https://www.freelancer.com/projects/graphic-design/product-bathroom-images/,3D Product & Bathroom Images, #10139690,Completed,1,£250-750 GBP,5,"3D Modelling,3D Rendering,Graphic Design,Photo Editing,Photoshop",5,5,16,"Paddock Wood, United Kingdom",United Kingdom,High income,16,1,16,21,0.285714286,0
921,https://www.freelancer.com/projects/academic-writing/sociologicallllll/,sociologicallllll, #10136367,Completed,1,$10-30 USD,5,Research Writing,1,4.8,15,"boston, United States",United States,High income,2,1,2,8,0.875,0
924,https://www.freelancer.com/projects/statistical-analysis/study-about-crowd-sourcing-data/,Study about crowd-sourcing data science projects, #10127012,Completed,3,$5 USD / hour,5,"Analytics,Data Science,Statistical Analysis",3,5,19,Switzerland,Switzerland,High income,6,3,2,7,0.857142857,0
925,https://www.freelancer.com/projects/academic-writing/write-page-report-sustainability-the/,Write a 7-page report on sustainability in the industrial tools and equipment industry, #10125861,In Progress,1,$10-30 USD,5,"Manufacturing,Report Writing,Research Writing,Supplier Sourcing,Technical Writing",5,5,10,"Stockholm, Sweden",Sweden,High income,1,1,1,19,1,0
931,https://www.freelancer.com/projects/statistical-analysis/study-crowdsourcing-data-science-project/,Study on crowdsourcing data science project, #10084671,Completed,6,$5 USD / hour,5,"Analytics,Data Science,Statistical Analysis",3,5,19,Switzerland,Switzerland,High income,62,6,10.33333333,18,0.481481481,0
933,https://www.freelancer.com/projects/statistical-analysis/study-about-crowdsourcing-data-science-10047182/,Study about crowdsourcing data-science projects, #10047182,Completed,9,$5 USD / hour,5,"Analytics,Data Science,Statistical Analysis",3,5,19,Switzerland,Switzerland,High income,73,9,8.111111111,14,0.492063492,0
935,https://www.freelancer.com/projects/php/simple-coding-project-find-pattern/,Simple coding project to find a pattern in charts, #10041849,Completed,1,$30-250 USD,5,"C Programming,C# Programming,Java,PHP,Python",5,5,3,"London, United Kingdom",United Kingdom,High income,15,1,15,21,0.333333333,0
936,https://www.freelancer.com/projects/statistical-analysis/study-about-crowdsourcing-data-science/,Study about crowdsourcing data science projects, #10028041,Completed,5,$5 USD / hour,5,"Analytics,Data Science,Statistical Analysis",3,5,19,Switzerland,Switzerland,High income,15,5,3,7,0.714285714,0
937,https://www.freelancer.com/projects/php/dump-truck-load-tracker-database/,Dump Truck Load tracker database and IOS application, #10018569,Completed,1,$250-750 USD,5,"PHP,Software Architecture",2,5,4,"Magnolia, Canada",Canada,High income,4,1,4,20,0.85,0
939,https://www.freelancer.com/projects/academic-writing/research-proposal-10003275/,Research proposal, #10003275,Completed,1,$30-250 USD,5,Research Writing,1,5,16,"Muscat, Oman",Oman,High income,21,1,21,21,0.047619048,0
945,https://www.freelancer.com/projects/php/implement-magento-extension-magento/,Implement Magento Extension on Magento 1.9, #9963518,Completed,1,$30-250 USD,5,"CSS,HTML,Magento,PHP,Website Design",5,5,14,"Long Branch, United States",United States,High income,3,1,3,21,0.904761905,0
947,https://www.freelancer.com/projects/academic-writing/write-report-9940718/,Write a Report , #9940718,Completed,1,$30-250 USD,3,"Article Rewriting,Report Writing,Research Writing",3,5,4,"Fairfield, United States",United States,High income,4,1,4,17,0.823529412,0
948,https://www.freelancer.com/projects/php/build-services-related-website-with/,"Build a services-related website with the same type of modern look and functionality found websites like airbnb, instagram; etc.", #9940068,In Progress,1,$3000-5000 USD,1,"CSS,PHP,Software Architecture,Website Design,WordPress",5,0,0,"Pittsboro, United States",United States,High income,19,1,19,21,0.142857143,0
950,https://www.freelancer.com/projects/wordpress/this-project-that-will-make/,This is a project that will make a website similaur to the one ill post in the chat.  ! ASAP, #9923938,Completed,1,$25-135 USD,5,"Javascript,WordPress",2,4.6,86,"IRVINE, United States",United States,High income,3,1,3,6,0.666666667,0
951,https://www.freelancer.com/projects/data-processing/study-crowdsourcing-data-science-9915914/,Study on crowdsourcing data-science projects, #9915914,Completed,1,$5 USD / hour,5,"Analytics,Data Science,Machine Learning",3,5,19,Switzerland,Switzerland,High income,5,1,5,15,0.733333333,0
952,https://www.freelancer.com/projects/data-processing/study-crowdsourcing-data-science/,Study on crowdsourcing data science projects, #9914508,Completed,1,$5 USD / hour,5,"Analytics,Data Processing,Data Science",3,5,19,Switzerland,Switzerland,High income,1,1,1,1,1,0
954,https://www.freelancer.com/projects/article-rewriting/sociological-lll/,sociological lll, #9898267,Completed,1,$10-30 USD,5,Article Rewriting,1,4.8,15,"boston, United States",United States,High income,1,1,1,1,1,0
957,https://www.freelancer.com/projects/php/changes-wordpress-theme-template/,3 changes to my Wordpress Theme's Template , #9892275,Completed,1,$30-250 USD,3,"CSS,HTML,PHP,WordPress",4,5,3,Oman,Oman,High income,1,1,1,19,1,0
960,https://www.freelancer.com/projects/php/multi-cart-data-automation-system/,Multi-Cart Data Automation System - Finish off a previous (unfinished) project, #9849357,Completed,1,$250-750 AUD,5,"Codeigniter,PHP,Shopping Carts,Software Architecture,User Interface / IA",5,5,6,"Broadmeadows, Australia",Australia,High income,6,1,6,11,0.545454545,0
961,https://www.freelancer.com/projects/editing/edit-english-translation-poem-russian/,Edit a English translation of a poem by a Russian poet, #9850402,Completed,1,$250-750 NZD,5,"Editing,English (UK),Russian",3,5,10,"Red Beach, New Zealand",New Zealand,High income,7,1,7,14,0.571428571,0
962,https://www.freelancer.com/projects/technical-writing/design-problem/,Design Problem, #9828234,Completed,1,$30-250 USD,5,"Circuit Design,Electrical Engineering,Solidworks,Technical Writing",4,5,27,"Corvallis, United States",United States,High income,1,1,1,2,1,0
973,https://www.freelancer.com/projects/website-design/woocommerce-database-too-large/,Woocommerce / WP Database too large, #9699318,Completed,1,$30-250 USD,5,"eCommerce,HTML,Shopping Carts,Volusion,Website Design",5,5,15,"Philadelphia, United States",United States,High income,7,1,7,11,0.454545455,0
976,https://www.freelancer.com/projects/data-entry/fill-spreadsheet-with-data-9715387/,Fill in a Spreadsheet with Data  -- 2, #9715387,In Progress,1,$1500-3000 USD,2,"Data Entry,Data Processing,Excel",3,0,0,"San Francisco, United States",United States,High income,9,1,9,18,0.555555556,0
978,https://www.freelancer.com/projects/screenwriting/minute-movie-pitch-true-story/,"2 minute movie pitch of true story, a teacher taking 5 kids on a trip around the us in 1962", #9706139,In Progress,1,$1500-3000 USD,0,Screenwriting,1,0,0,United States,United States,High income,4,1,4,4,0.25,0
980,https://www.freelancer.com/projects/php/create-new-type-quiz-question/,Create a new type of quiz question for WP-Courseware, #9681764,Completed,1,£20-250 GBP,5,"eLearning,PHP,Plugin,WordPress",4,5,11,"Macclesfield, United Kingdom",United Kingdom,High income,1,1,1,19,1,0
982,https://www.freelancer.com/projects/academic-writing/sociological/,sociological, #9665044,Completed,1,$10-30 USD,5,Research Writing,1,4.8,15,"boston, United States",United States,High income,4,1,4,4,0.25,0
983,https://www.freelancer.com/projects/graphic-design/design-logo-9660234/,Design a Logo , #9660234,Completed,1,$10-30 USD,5,"Graphic Design,Logo Design",2,5,13,"New York, United States",United States,High income,11,1,11,20,0.5,1
985,https://www.freelancer.com/projects/articles/gender-the-workplace/,Gender and the workplace, #9647356,Completed,1,$10-30 USD,5,"Article Writing,Report Writing,Research Writing,Technical Writing",4,4.8,32,"Detroit, United States",United States,High income,1,1,1,9,1,0
989,https://www.freelancer.com/projects/cplusplus-programming/can-send-the-required-info/,I can send the required info .This needs to be done by this week end. , #9605562,Completed,1,$30-250 USD,1,C++ Programming,1,5,4,"Lithis, United States",United States,High income,1,1,1,9,1,0
991,https://www.freelancer.com/projects/articles/need-female-interviewees-for-campaign/,I need FEMALE interviewees for a campaign on violence at college, #9602068,Completed,3,$10-30 USD,4,Article Writing,1,5,7,"Medan, Indonesia",Indonesia,Lower middle income,6,3,2,7,0.857142857,0
993,https://www.freelancer.com/projects/php/surveyforlivepresentations/,SurveyForLivePresentations, #9557645,Cancelled,1,$30-250 USD,5,"HTML,jQuery / Prototype,MySQL,PHP,Website Design",5,5,5,"istanbul, Turkey",Turkey,Upper middle income,1,1,1,2,1,0
995,https://www.freelancer.com/projects/photoshop/edit-shaky-hands-photo/,Edit shaky hands on photo, #9539116,Completed,1,$12-30 SGD,5,Photoshop,1,5,16,"Bedok, Singapore",Singapore,High income,21,1,21,21,0.047619048,0
998,https://www.freelancer.com/projects/graphic-design/doing-questionnaire-survey-excel/,Doing questionnaire/survey in Excel, #9525922,Completed,1,$30-250 SGD,5,"Data Processing,Excel,Graphic Design",3,5,2,"Singapore, Singapore",Singapore,High income,6,1,6,20,0.75,0
999,https://www.freelancer.com/projects/mysql/fix-mysql-centos-server/,Fix MySQL on Centos 7 Server, #9525780,Completed,1,$10-30 USD,1,"Linux,MySQL,SQL,Web Hosting",4,5,1,"Salt Lake City, United States",United States,High income,1,1,1,2,1,1
1001,https://www.freelancer.com/projects/content-writing/slide-powerpoint-regarding-how-educate/,15 Slide PowerPoint regarding how to educate autistic students (needed with 24 hours), #9157391,Completed,1,$10-100 USD,5,"Content Writing,Powerpoint,Research,Research Writing",4,4.9,16,"Lithonia, United States",United States,High income,3,1,3,12,0.833333333,1
1002,https://www.freelancer.com/projects/php/build-live-chat-web-app/,Build me a live chat web app with simple post API, #9156867,Completed,1,$100-260 USD,5,"HTML,MySQL,PHP,Software Architecture",4,4.1,64,"Wildwood, United States",United States,High income,1,1,1,13,1,0
1004,https://www.freelancer.com/projects/magento/upgrade-magento-website-ver/,Upgrade Magento website to Ver. 2.0, #9148344,Completed,1,$10-30 USD,5,Magento,1,5,175,"Manama, Bahrain",Bahrain,High income,9,1,9,17,0.529411765,0
1007,https://www.freelancer.com/projects/php/modify-flash-game/,Modify flash game..., #9134833,Completed,1,$10-180 CAD,5,"ActionScript,Adobe Flash,PHP",3,5,382,"Toronto, Canada",Canada,High income,4,1,4,5,0.4,0
1008,https://www.freelancer.com/projects/videography/video-edit/,Video Edit, #9112893,Completed,1,$10-30 USD,5,"After Effects,Video Editing,Videography",3,5,38,"Birmingham, United Kingdom",United Kingdom,High income,3,1,3,7,0.714285714,0
1009,https://www.freelancer.com/projects/data-processing/analyze-some-data-fix-9105853/,Analyze some Data  , #9105853,In Progress,1,₹12500-37500 INR,0,"Copy Typing,Data Processing,PDF,Word",4,0,0,India,India,Lower middle income,1,1,1,1,1,0
1011,https://www.freelancer.com/projects/academic-writing/economy-research/,Economy research, #9046304,Completed,1,$10-30 USD,5,Research Writing,1,5,11,"lawrence, United States",United States,High income,5,1,5,6,0.333333333,0
1015,https://www.freelancer.com/projects/php/edit-existing-oscommerce-commerce/,Edit an existing OScommerce E-commerce website, #9023531,Completed,1,£10-30 GBP,5,"eCommerce,MySQL,OSCommerce,PHP",4,5,9,"Manchester, United Kingdom",United Kingdom,High income,1,1,1,4,1,0
